Date,Security ID,Base Currency,Pricing Frequency,Investment Type,Domicile,Portfolio Currency,Fund Size (USD),NAV (Daily - USD),Management Fee,Annual Report Net Expense Ratio,Average Yield to Maturity (Long),Average Yield to Maturity (Net),Yield to Maturity,Asset Allocation - Cash (%),Asset Allocation - Equity (%),Asset Allocation - US Equity (%),Asset Allocation - Non-US Equity (%),Asset Allocation - Bonds (%),Asset Allocation - US Bonds (%),Asset Allocation - Non-US Bonds (%),Asset Allocation - Other (%),Equity Sector - Basic Materials (%),Equity Sector - Communication Services (%),Equity Sector - Consumer Cyclical (%),Equity Sector - Consumer Defensive (%),Equity Sector - Healthcare (%),Equity Sector - Industrials (%),Equity Sector - Real Estate (%),Equity Sector - Technology (%),Equity Sector - Energy (%),Equity Sector - Financial Services (%),Equity Sector - Utilities (%),Equity Country - Belgium (%),Equity Country - Brazil (%),Equity Country - Canada (%),Equity Country - China (%),Equity Country - France (%),Equity Country - Germany (%),Equity Country - Italy (%),Equity Country - India (%),Equity Country - Japan (%),Equity Country - Mexico (%),Equity Country - Netherlands (%),Equity Country - Russia (%),Equity Country - Spain (%),Equity Country - Sweden (%),Equity Country - Switzerland (%),Equity Country - United Kingdom (%),Equity Country - United States (%),Market Cap - Giant (%),Market Cap - Large (%),Market Cap - Mid (%),Market Cap - Small (%),Market Cap - Micro (%),Fixed Income - Government (%),Fixed Income - Municipal (%),Fixed Income - Corporate (%),Fixed Income - Securitized (%),Fixed Income - Cash Equivalents (%),Fixed Income - Derivatives (%),Fixed Income - Belgium (%),Fixed Income - Brazil (%),Fixed Income - Canada (%),Fixed Income - France (%),Fixed Income - Germany (%),Fixed Income - Indonesia (%),Fixed Income - Italy (%),Fixed Income - Japan (%),Fixed Income - Mexico (%),Fixed Income - Netherlands (%),Fixed Income - Russia (%),Fixed Income - Spain (%),Fixed Income - Sweden (%),Fixed Income - Switzerland (%),Fixed Income - United Kingdom (%),Fixed Income - United States (%),Maturity - 1-3 Years (%),Maturity - 3-5 Years (%),Maturity - 5-7 Years (%),Maturity - 7-10 Years (%),Maturity - 10-15 Years (%),Maturity - 15-20 Years (%),Maturity - 20-30 Years (%),Maturity - 30+ Years (%),Credit Quality - AAA (%),Credit Quality - AA (%),Credit Quality - A (%),Credit Quality - BBB (%),Credit Quality - BB (%),Credit Quality - B (%),Credit Quality - Below B (%),Credit Quality - Not Rated (%),Equity Region - Emerging Markets (%),Equity Region - Europe Developed (%),Equity Region - North America (%),Equity Region - Japan (%),Fixed Income Region - Emerging Markets (%),Fixed Income Region - Europe Developed (%),Fixed Income Region - Japan (%),Fixed Income Region - North America (%)
4/30/2015,d097f968,Euro,Daily,Insurance Product Fund,Belgium,Euro,142620710.3,526.023,1,,,,,0.83,63.11,33.91,29.2,16.46,4.33,12.13,19.6,2.34,5.22,10.23,4.04,7.21,8.6,1,10.54,1.27,12.24,0.41,0.54,0.32,1.21,0.99,1.97,3.13,0.54,1.02,5.23,0,2.26,0,0.33,0.7,2.24,4.59,33.91,27.43,21.99,10.82,2.51,0.36,9.5,0.01,5.16,2.65,1.29,-0.62,0.29,0.03,0.29,1.3,1.98,0.02,1.57,1.49,0.11,0.24,0,1,0.14,0.17,0.91,4.48,1.9,2.38,2.7,2.73,1.27,1.12,2.58,1.08,,,,,,,,,2.53,12.38,35.12,5.23,1.09,7.73,1.49,4.81
4/30/2015,77672f8f,Euro,Daily,Insurance Product Fund,Belgium,Euro,278081312.5,193.598,1,,,,,0.01,83.24,44.73,38.51,0,0,0,16.75,3.09,6.89,13.5,5.33,9.51,11.34,1.31,13.9,1.68,16.15,0.54,0.71,0.42,1.6,1.31,2.6,4.13,0.71,1.34,6.9,0,2.98,0,0.43,0.92,2.96,6.04,44.73,36.18,29,14.28,3.31,0.48,0,0,0,0,0.02,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34,16.33,46.33,6.9,,,,
5/31/2015,77672f8f,Euro,Daily,Insurance Product Fund,Belgium,Euro,277463214.4,193.356,1,,,,,-0.03,83.27,44.75,38.53,0,0,0,16.75,3.09,6.89,13.5,5.33,9.51,11.34,1.31,13.91,1.68,16.15,0.54,0.71,0.42,1.6,1.31,2.6,4.13,0.71,1.34,6.9,0,2.98,0,0.43,0.92,2.96,6.05,44.75,36.13,29.22,14.23,3.19,0.49,0,0,0,0,-0.02,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34,16.34,46.34,6.9,,,,
3/31/2015,77672f8f,Euro,Daily,Insurance Product Fund,Belgium,Euro,260884993.6,183.992,1,,,,,-0.04,81.26,45.65,35.62,0,0,0,18.77,3.15,6.11,13.64,4.99,8.73,11.14,1.09,14.97,0.68,16.22,0.55,0.16,0.57,1.77,1.41,1.73,2.62,0.65,1.5,7,0,1.35,0,0.42,0.86,3.28,6.52,45.65,35.06,29.27,14.86,1.89,0.18,0,0,0,0,-0.03,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84,11.91,47.42,7,,,,
4/30/2015,9e25c2d4,Euro,Daily,Insurance Product Fund,Belgium,Euro,8700805.45,73.786,0.5,,,,,86.63,0,0,0,13.35,0,13.35,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0,11.9,0,87.74,0,0,0,0,10.73,0,0,0.02,0,0,1,0,0.03,0.15,0,1.22,0,0.5,0,0,0,0,0,0,0,,,,,,,,,,,,,0,11.93,0,0
5/31/2015,9e25c2d4,Euro,Daily,Insurance Product Fund,Belgium,Euro,11003665.4,74.173,0.5,,,,,84.37,0,0,0,15.62,0,15.62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0,14.66,0,84.58,0,0,0,0,13.32,0.01,0,0.03,0,0,0.88,0,0.02,0.13,0,1.07,0,0.43,0,0,0,0,0,0,0,,,,,,,,,,,,,0,14.37,0,0
3/31/2015,9e25c2d4,Euro,Daily,Insurance Product Fund,Belgium,Euro,9216365.66,71.491,0.5,,,,,87.75,0,0,0,12.24,0,12.24,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,0,10.71,0,88.7,0,0,0,0,9.7,0.47,0,0.03,0,0,0.79,0,0.04,0.13,0,1.05,0,0.43,0,0,0,0,0,0,0,,,,,,,,,,,,,0,11.14,0,0
5/31/2015,6c4ed0a5,Euro,Daily,Insurance Product Fund,Ireland,Euro,727563.5,2.336,1.45,1.7,,,1.2,11.97,47.75,0,47.75,40.22,0,40.22,0.06,4.96,2.9,6.01,5.3,5.61,4.35,0.94,0.77,6.47,8.61,1.82,0.71,0,0,0,7.72,4.67,1.75,0,0,0,0.86,0,2.54,1.84,5.03,19.16,0,24.05,10.8,9.9,2.74,0.23,40.22,0,0,0,11.97,0,0,0,0,3.51,17.81,0,10.8,0,0,0,0,0,0.36,0,7.75,0,0,16.32,0,8.02,0,7.93,7.95,0,51.3,0,0,0,0,0,0,48.7,0,28.6,0,0,0,32.48,0,0
4/30/2015,6c4ed0a5,Euro,Daily,Insurance Product Fund,Ireland,Euro,690276.78,2.33,1.45,1.7,,,1.2,11.97,47.75,0,47.75,40.22,0,40.22,0.06,4.96,2.9,6.01,5.3,5.61,4.35,0.94,0.77,6.47,8.61,1.82,0.71,0,0,0,7.72,4.67,1.75,0,0,0,0.86,0,2.54,1.84,5.03,19.16,0,24.05,10.8,9.9,2.74,0.23,40.22,0,0,0,11.97,0,0,0,0,3.51,17.81,0,10.8,0,0,0,0,0,0.36,0,7.75,0,0,16.32,0,8.02,0,7.93,7.95,0,51.3,0,0,0,0,0,0,48.7,0,28.6,0,0,0,32.48,0,0
3/31/2015,6c4ed0a5,Euro,Daily,Insurance Product Fund,Ireland,Euro,727768.07,2.19,1.45,1.7,,,1.2,11.97,47.75,0,47.75,40.22,0,40.22,0.06,4.96,2.9,6.01,5.3,5.61,4.35,0.94,0.77,6.47,8.61,1.82,0.71,0,0,0,7.72,4.67,1.75,0,0,0,0.86,0,2.54,1.84,5.03,19.16,0,24.05,10.8,9.9,2.74,0.23,40.22,0,0,0,11.97,0,0,0,0,3.51,17.81,0,10.8,0,0,0,0,0,0.36,0,7.75,0,0,16.32,0,8.02,0,7.93,7.95,0,51.3,0,0,0,0,0,0,48.7,0,28.6,0,0,0,32.48,0,0
