Date,Security ID,Base Currency,Pricing Frequency,Investment Type,Domicile,Portfolio Currency,Fund Size (USD),NAV (Daily - USD),Asset Allocation - Cash (%),Asset Allocation - Equity (%),Asset Allocation - US Equity (%),Asset Allocation - Non-US Equity (%),Asset Allocation - Bonds (%),Asset Allocation - US Bonds (%),Asset Allocation - Non-US Bonds (%),Asset Allocation - Other (%),Fixed Income - Government (%),Fixed Income - Municipal (%),Fixed Income - Corporate (%),Fixed Income - Securitized (%),Fixed Income - Cash Equivalents (%),Fixed Income - Derivatives (%),NAV_pct_change,Fund_Size_pct_change,Cluster
2015-03-31,4bc46bb6,Euro,Daily,Insurance Product Fund,Spain,,25017327.31,26.76,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0
2015-04-30,4bc46bb6,Euro,Daily,Insurance Product Fund,Spain,,25836695.61,27.774,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.03789237668161438,0.032752031815663996,0
2015-05-31,4bc46bb6,Euro,Daily,Insurance Product Fund,Spain,,26218044.39,28.274,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.018002448332973264,0.014759967209289737,0
2015-03-31,4bdeda08,Euro,Daily,Open-End Fund,Finland,Euro,65418628.16,22.584,13.43,36.55,17.21,19.34,33.38,12.61,20.76,16.65,19.51,0.0,24.15,1.21,13.09,-0.05,1e-08,1e-08,0
2015-04-30,4bdeda08,Euro,Daily,Open-End Fund,Finland,Euro,65775870.01,23.497,17.38,35.26,14.6,20.66,31.65,12.15,19.51,15.7,18.17,0.0,23.05,1.18,17.38,-0.38,0.04042685086787112,0.005460858169117566,0
2015-05-31,4bdeda08,Euro,Daily,Open-End Fund,Finland,Euro,67727840.38,23.519,13.84,37.01,16.62,20.38,33.08,12.4,20.68,16.08,19.38,0.0,23.56,1.19,13.89,-0.43,0.0009362897391156366,0.029676085921831685,0
2015-03-31,4bf267a0,Swiss Franc,Weekly,Insurance Product Fund,Switzerland,Swiss Franc,692126147.2,662767.158,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1e-08,1e-08,4
2015-04-30,4bf267a0,Swiss Franc,Weekly,Insurance Product Fund,Switzerland,Swiss Franc,723237257.7,690592.408,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.041983447224462456,0.04495005805785568,4
2015-05-31,4bf267a0,Swiss Franc,Weekly,Insurance Product Fund,Switzerland,Swiss Franc,750540799.8,716464.32,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.03746336000844064,0.03775184672707432,4
2015-03-31,4c0acde7,US Dollar,Daily,Open-End Fund,Luxembourg,US Dollar,273753114.0,142.83,11.61,0.0,0.0,0.0,81.0,1.77,79.23,7.39,72.79,0.0,8.21,0.0,11.52,0.09,1e-08,1e-08,3
2015-04-30,4c0acde7,US Dollar,Daily,Open-End Fund,Luxembourg,US Dollar,282934230.0,148.55,-44.56,0.0,0.0,0.0,136.43,3.7,132.73,8.13,128.25,0.0,8.18,0.0,-216.32,171.75,0.04004760904571869,0.03353794178209779,3
2015-05-31,4c0acde7,US Dollar,Daily,Open-End Fund,Luxembourg,US Dollar,287042669.0,150.65,19.39,0.24,0.0,0.24,72.83,1.78,71.04,7.54,65.65,0.0,7.18,0.0,19.97,-0.58,0.014136654325143105,0.014520826978057677,3
2015-03-31,4c31ddb6,Euro,Daily,Open-End Fund,Austria,Euro,8074468.16,65.087,11.26,14.83,2.85,11.97,72.17,0.0,72.17,1.75,72.17,0.0,0.0,0.0,11.26,0.0,1e-08,1e-08,0
2015-04-30,4c31ddb6,Euro,Daily,Open-End Fund,Austria,Euro,8381720.63,67.561,18.05,13.83,2.69,11.14,66.81,0.0,66.81,1.31,66.81,0.0,0.0,0.0,18.05,0.0,0.03801066265152797,0.03805234771029187,0
